//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Clique
Tap,Appuie
,
//Tower Names,
DartMonkey,Singe à fléchettes
BoomerangMonkey,Singe à boomerangs
BombShooter,Lanceur de bombes
TackShooter,Tireur de punaises
IceMonkey,Singe de glace
GlueGunner,Encolleur
SniperMonkey,Singe sniper
MonkeySub,Sous-marin singe
MonkeyBuccaneer,Singe boucanier
MonkeyAce,Singe pilote d’élite
HeliPilot,Pilote d’hélicoptère
MortarMonkey,Singe à mortier
WizardMonkey,Singe sorcier
DartlingGunner,Mitrailleur de fléchettes
SuperMonkey,Super singe
NinjaMonkey,Singe ninja
Alchemist,Alchimiste
Druid,Druide
BananaFarm,Bananeraie
EngineerMonkey,Singe ingénieur
SpikeFactory,Usine de herses
MonkeyAcademy,Académie des singes
MonkeyVillage,Village de singes
,
//Tower Descriptions,
DartMonkey Description,"Lance une fléchette sur les Bloons à proximité. Courte portée et faible pouvoir perforant, mais bon marché."
BoomerangMonkey Description,Lance violemment un boomerang qui suit une trajectoire courbe. Bonne portée et pouvoir perforant.
BombShooter Description,"Lance une bombe puissante sur les Bloons. Cadence de tir lente, mais affecte tout un rayon autour de l'explosion."
TackShooter Description,Tire une salve de punaises pointues à courte portée dans 8 directions.
IceMonkey Description,"Fait éclater et gèle les Bloons à proximité pendant une courte durée. Les Bloons gelés sont immunisés contre les dégâts perforants. Ne peut geler les Bloons blancs, zébrés et en plomb."
GlueGunner Description,Lance une goutte de colle gluante qui ralentit les Bloons de 50 %.
SniperMonkey Description,"Peut tirer sur tous les Bloons qui apparaissent à l'écran à l'aide d'un fusil à longue portée, et faire éclater 2 couches des Bloons qu'il atteint."
MonkeySub Description,Lance des fléchettes-torpilles à têtes chercheuses sur les Bloons à proximité. Doit être placé dans l'eau.
MonkeyBuccaneer Description,Lance une fléchette lourde des deux côtés du navire. Doit être placé dans l'eau.
MonkeyAce Description,Vole au-dessus du sol en lançant des salves de fléchettes à haut pouvoir perforant.
HeliPilot Description,Plane au-dessus de l'endroit où il est placé. Tire avec des lance-fléchettes doubles lourdes.
MortarMonkey Description,Lance un obus de mortier explosif sur un lieu précis de l'écran.
WizardMonkey Description,Lance violemment des éclairs d'énergie sur les Bloons. Peut être amélioré pour posséder un éventail de sorts puissants.
DartlingGunner Description,Utilise une mitrailleuse à fléchettes. Cible l'endroit que tu désignes à l'écran.
SuperMonkey Description,Lance des centaines de fléchettes à une vitesse hypersonique et une vaste portée d'attaque.
NinjaMonkey Description,Singe furtif et rapide qui lance des shurikens à lames pour faire éclater les Bloons. Peut cibler les Bloons camouflés.
Alchemist Description,"En exploitant les pouvoirs de la science et de la magie, éclabousse les Bloons avec de l'acide et concocte diverses potions possédant des effets variés."
Druid Description,"Crée une explosion d'épines à chaque attaque. Les améliorations peuvent lui permettre invoquer les pouvoirs de la jungle, de la tempête et du courroux."
BananaFarm Description,"Génère des bananes à chaque manche, qui se convertissent en argent fictif utilisable dans le jeu pour acheter encore plus de choses."
EngineerMonkey Description,Utilise un pistolet à clous robuste pour faire éclater les Bloons. Peut être amélioré pour créer ses propres tourelles sentinelles tireuses de clous.
SpikeFactory Description,Génère automatiquement des tas de herses sur le circuit à proximité. Excellente dernière ligne de défense.
MonkeyAcademy Description,"Endroit pour l'éducation et la formation des singes. Accorde des avantages puissants pour les singes militaires, magiques ou héros. Génère une petite quantité de XP de héros à chaque manche."
MonkeyVillage Description,"Centre de l'industrie des singes, détient plusieurs avantages pour aider tous tes singes. Augmente le rayon de tous les singes dans son rayon de 15 %."
,
//Hero Names,
Quincy,Quincy
StrikerJones,Striker Jones
CaptainChurchill,Capitaine Churchill
Gwendolin,Gwendolin
Benjamin,Benjamin
PatFusty,Pat Fusty
Ezili,Ezili
ObynGreenfoot,Obyn Greenfoot
,
//Hero Short Descriptions,
Quincy Short Description,Archer
StrikerJones Short Description,Commandant d'artillerie
CaptainChurchill Short Description,Char
Gwendolin Short Description,Pyromane
Benjamin Short Description,Singe codeur
PatFusty Short Description,Singe géant
Ezili Short Description,Singe vaudou
ObynGreenfoot Short Description,Gardien de la forêt
,
//Hero Description,
Quincy Description,"Fier, fort et intelligent, Quincy se sert de son arc pour accomplir des exploits hors pair."
StrikerJones Description,Striker Jones est un commandant solide qui utilise ses connaissances de combat longue portée pour améliorer grandement le pouvoir des explosifs.
CaptainChurchill Description,"Dans son char de combat blindé, le Capitaine approche le champ de bataille de façon pragmatique et déterminée."
Gwendolin Description,Gwendolin pense qu'il n'existe encore aucun problème de Bloon qui ne peut être résolu par le feu. Plein de feu.
Benjamin Description,"À l'aide de ses talents de piratage d'élite, Benjamin peut générer de l'argent supplémentaire pour la bonne cause."
PatFusty Description,Pat est un énorme singe à la force immense. Sa taille et sa puissance uniques sont un grand avantage dans la guerre contre les Bloons.
Ezili Description,Ezili exerce la magie noire et est un manipulateur de Bloons. Attention. 
ObynGreenfoot Description,"Maîtrisant les pouvoirs de la nature, Obyn peut tirer à travers des obstacles solides avec son attaque d'esprit de loup."
,
//Hero Level Descriptions,
Quincy Level 1 Description,Les flèches de Quincy rebondissent sur un maximum de 3 cibles différentes.
Quincy Level 2 Description,Attaque de base qui rebondit sur un maximum de 4 cibles.
Quincy Level 3 Description,Décharge rapide : triple la vitesse d'attaque pendant une courte durée.
Quincy Level 4 Description,Portée légèrement supérieure.
Quincy Level 5 Description,Utilise son acuité visuelle pour tirer sur les Bloons camouflés.
Quincy Level 6 Description,Lance 2 flèches en même temps.
Quincy Level 7 Description,Tires des flèches explosives tous les trois tirs.
Quincy Level 8 Description,Les flèches infligent des dégâts triples aux Bloons de classe MOAB.
Quincy Level 9 Description,Attaque de base qui rebondit sur un maximum de 6 cibles.
Quincy Level 10 Description,Tempête de flèches : couvre une vaste superficie d'une pluie mortelle de flèches.
Quincy Level 11 Description,Vitesse d'attaque augmentée.
Quincy Level 12 Description,Chaque flèche détient davantage de puissance d'éclatement.
Quincy Level 13 Description,Faible augmentation de portée.
Quincy Level 14 Description,Les flèches infligent 4 fois plus de dégâts aux Bloons de classe MOAB.
Quincy Level 15 Description,La décharge rapide reçoit une vitesse d'attaque 4 fois supérieure et le temps de recharge est raccourci.
Quincy Level 16 Description,Vitesse d'attaque encore plus augmentée.
Quincy Level 17 Description,Les flèches durent 25 % plus longtemps.
Quincy Level 18 Description,Les attaques de Quincy sont plus rapides et Tempête de flèches a un temps de recharge réduit et 50 % de flèches en plus.
Quincy Level 19 Description,Chaque flèche détient encore davantage de puissance d'éclatement.
Quincy Level 20 Description,Quincy attaque encore plus rapidement. Tempête de flèches inflige plus de dégâts par flèche et tire encore plus de flèches.
,
StrikerJones Level 1 Description,Striker Jones utilise un puissant bazooka pour faire exploser les Bloons.
StrikerJones Level 2 Description,Zone de déflagration augmentée.
StrikerJones Level 3 Description,Commotion explosive : tire un obus à tête chercheuse sur le plus gros Bloon à l'écran pour l'assommer.
StrikerJones Level 4 Description,Tous les lanceurs de bombes et les singes à mortier à l'écran tirent 10 % plus vite.
StrikerJones Level 5 Description,Rend tous les Bloons noirs moins résistants aux dégâts explosifs de tous les singes.
StrikerJones Level 6 Description,Le rayon d'explosion et le taux d'éclatement des attaques normales de Jones augmentent considérablement.
StrikerJones Level 7 Description,Fait éclater 2 couches par tir et la zone de déflagration des singes à mortier est augmentée de 10 %.
StrikerJones Level 8 Description,Les lanceurs de bombes près du héros reçoivent + 5 % de portée et + 25 % de pouvoir perforant.
StrikerJones Level 9 Description,"Vitesse d'attaque augmentée et percée, dégâts et étourdissement augmentés pour Commotion explosive."
StrikerJones Level 10 Description,Commandement d'artillerie : réinitialise le temps de recharge de tous les lanceurs de bombes et singes à mortier.
StrikerJones Level 11 Description,Vitesse d'attaque augmentée.
StrikerJones Level 12 Description,Portée d'attaque légèrement augmentée et couche supplémentaire éclatée.
StrikerJones Level 13 Description,Vitesse d'attaque augmentée.
StrikerJones Level 14 Description,"La commotion explosive affecte une zone plus large, pendant une durée plus longue."
StrikerJones Level 15 Description,Temps de recharge de la commotion explosive réduit à 11 secondes.
StrikerJones Level 16 Description,Vitesse d'attaque augmentée.
StrikerJones Level 17 Description,Portée augmentée et fait éclater 4 couches par tir.
StrikerJones Level 18 Description,Tous les lanceurs de bombes et les singes à mortier attaquent 10 % plus vite.
StrikerJones Level 19 Description,Vitesse d'attaque augmentée et rend tous les Bloons noirs vulnérables aux dégâts explosifs.
StrikerJones Level 20 Description,Le commandement d'artillerie inflige aussi des dégâts et des éclatements doubles à chaque tir à tous les lanceurs de bombes et singes à mortier pendant 10 secondes.
,
CaptainChurchill Level 1 Description,Les bombes perforantes qui sont tirées du char peuvent exploser jusqu'à 3 fois.
CaptainChurchill Level 2 Description,Puissance d'éclatement par tir augmentée.
CaptainChurchill Level 3 Description,Obus perforants : Les tirs peuvent faire éclater les Bloons noirs et infliger des dégâts supplémentaires aux Bloons en céramique. La durée augmente au fur et à mesure que Churchill monte de niveau.
CaptainChurchill Level 4 Description,Portée d'attaque augmentée.
CaptainChurchill Level 5 Description,Ajoute une attaque de mitrailleuse à fusillade rapide au char.
CaptainChurchill Level 6 Description,Les jumelles permettent à Churchill de faire éclater les Bloons camouflés.
CaptainChurchill Level 7 Description,Les obus infligent plus de dégâts et peuvent exploser 4 fois au lieu de 3.
CaptainChurchill Level 8 Description,Vitesse d'attaque augmentée.
CaptainChurchill Level 9 Description,Les obus peuvent exploser 5 fois.
CaptainChurchill Level 10 Description,"Barrage de MOAB : lance un barrage d'obus sur un maximum de 10 Bloons de classe MOAB à l'écran, infligeant d'énormes dégâts à chaque fois."
CaptainChurchill Level 11 Description,Puissance d'éclatement par obus augmentée.
CaptainChurchill Level 12 Description,Les obus infligent encore plus de dégâts et peuvent exploser 6 fois.
