//Input. Needs to be first e.g [I] replaced by click or tap
Click,Нажмите
Tap,Нажмите
,
//Tower Names,
DartMonkey,Обезьяна с дротиками
BoomerangMonkey,Обезьяна с бумерангом
BombShooter,Бомбометатель
TackShooter,Шпилькомет
IceMonkey,Ледяная обезьяна
GlueGunner,Клееметчик
SniperMonkey,Обезьяна-\nснайпер
MonkeySub,Подводник
MonkeyBuccaneer,Обезьяна-\nфлибустьер
MonkeyAce,Обезьяна-ас
HeliPilot,Вертолетчик
MortarMonkey,Обезьяна с мортирой
WizardMonkey,Обезьяна-маг
DartlingGunner,Дротикомёт
SuperMonkey,Супер-\nобезьяна
NinjaMonkey,Обезьяна-\nниндзя
Alchemist,Алхимик
Druid,Друид
BananaFarm,Банановая ферма
EngineerMonkey,Обезьяна-инженер
SpikeFactory,Шиповой завод
MonkeyAcademy,Академия обезьян
MonkeyVillage,Обезьянья деревня
,
//Tower Descriptions,
DartMonkey Description,"Стреляет одним дротиком по шарам поблизости. Имеет малый радиус действия и низкую пробивающую способность, но стоит дёшево."
BoomerangMonkey Description,"Бросает бумеранг, который летит по искривлённой траектории. Хороший радиус действия и пробивная способность."
BombShooter Description,"Стреляет мощной бомбой по шарам. Низкая скорость стрельбы, но наносит урон в радиусе взрыва."
TackShooter Description,Выстреливает в разные стороны по 8 шпилек на короткое расстояние.
IceMonkey Description,"Ненадолго взрывает и замораживает шары поблизости. На замороженные шары перестают действовать острые предметы. Белые, свинцовые и зеброшары нельзя заморозить."
GlueGunner Description,"Выстреливает каплю липкого клея, замедляющую шары на 50%."
SniperMonkey Description,"Может стрелять по шарам, которые видит где угодно на экране, из дальнобойной винтовки и пробивает 2 слоя шаров при попадании."
MonkeySub Description,Стреляет самонаводящимися дроторпедами по шарам поблизости. Работает только в воде.
MonkeyBuccaneer Description,Выпускает по одному тяжёлому дротику с каждой стороны корабля. Работает только в воде.
MonkeyAce Description,"Летает над землёй, стреляя дротиками с высокой пробивной способностью."
HeliPilot Description,"Отправляется туда, куда вы укажете. Стреляет дротиками из тяжелых спаренных установок."
MortarMonkey Description,Запускает снаряд мортиры в любое указанное место на экране.
WizardMonkey Description,Стреляет волшебными молниями по шарам. При улучшении добавляются новые мощные заклинания. 
DartlingGunner Description,"Использует пулемёт с дротиками, целится в указанную точку на экране."
SuperMonkey Description,Метает сотни дротиков с гиперскоростью на огромное расстояние.
NinjaMonkey Description,"Скрытная и быстрая обезьяна, стреляющая по шарам острыми сюрикенами. Способна поражать камуфлированные шары."
Alchemist Description,"Обуздав силы науки и магии, обдаёт шары кислотой, а также варит разные зелья с различными эффектами."
Druid Description,"При каждой атаке стреляет пучком колючек. Улучшения могут придать силы джунглей, шторма или ярости."
BananaFarm Description,"В каждом раунде растит бананы, превращающиеся в игровые деньги, за которые можно купить что-то полезное."
EngineerMonkey Description,Вооружена надёжным гвоздомётом для пробивания шаров. При улучшении может создавать собственные сторожевые турели-гвоздомёты.
SpikeFactory Description,Автоматически генерирует кучи дорожных шипов на ближайшей трассе. Отличное средство для последней линии обороны.
MonkeyAcademy Description,"Место для занятий и обучения обезьян. Даёт огромные преимущества военным, магическим и героическим обезьянам. Каждый раунд даёт герою немного опыта."
MonkeyVillage Description,Центр обезьяньей промышленности. Даёт различные преимущества всем обезьянам. Обезьяны в радиусе действия бьют на 15% дальше.
,
//Hero Names,
Quincy,Квинси
StrikerJones,Ударник Джонс
CaptainChurchill,Капитан Черчилль
Gwendolin,Гвендолин
Benjamin,Бенджамин
PatFusty,Пэт Фасти
Ezili,Эзили
ObynGreenfoot,Обин Зеленоног
,
//Hero Short Descriptions,
Quincy Short Description,Стрелок
StrikerJones Short Description,Командир артиллерии
CaptainChurchill Short Description,Танк
Gwendolin Short Description,Пироман
Benjamin Short Description,Обезьяна-кодер
PatFusty Short Description,Гигантская обезьяна
Ezili Short Description,Обезьяна-вуду
ObynGreenfoot Short Description,Страж леса
,
//Hero Description,
Quincy Description,"Квинси горд, силён, умён, и потрясающе владеет луком."
StrikerJones Description,Ударник Джонс — опытный командир. Он много знает о боях на дальней дистанции и делает взрывчатку куда мощнее.
CaptainChurchill Description,"Сидя в танке, капитан становится серьёзной угрозой на поле боя. "
Gwendolin Description,"Считает, что нет такой проблемы с шарами, которую нельзя было бы решить оружием."
Benjamin Description,"Бенджамин — хакер, и может добывать больше денег для достижения общей цели."
PatFusty Description,Пэт — огромная обезьяна недюжинной силы. Его уникальные размеры и сила — отличное средство в борьбе с шарами.
Ezili Description,Эзили может управлять тёмными силами и манипулировать шарами. Берегитесь!  
ObynGreenfoot Description,"Обин владеет силой природы, а атака призрачного волка позволяет ему стрелять сквозь препятствия."
,
//Hero Level Descriptions,
Quincy Level 1 Description,Стрелы Квинси поражают до 3-х разных целей.
Quincy Level 2 Description,Базовая атака поражает до 4-х целей.
Quincy Level 3 Description,Быстрый выстрел: тройная скорость атаки на короткое время.
Quincy Level 4 Description,Увеличенная дальность стрельбы.
Quincy Level 5 Description,С помощью отличного зрения ведёт огонь по камуфлированным шарам.
Quincy Level 6 Description,Пускает две стрелы одновременно.
Quincy Level 7 Description,Каждый 3-й выстрел стреляет взрывными стрелами.
Quincy Level 8 Description,Стрелы наносят тройной урон шарам класса MOAB.
Quincy Level 9 Description,Базовая атака поражает до 6-ти целей.
Quincy Level 10 Description,Дождь из стрел: обрушивает на большую площадь смертоносные стрелы.
Quincy Level 11 Description,Увеличенная скорость атаки. 
Quincy Level 12 Description,Стрелы имеют большую пробивную способность.
Quincy Level 13 Description,Небольшое увеличение дальности стрельбы.
Quincy Level 14 Description,Стрелы наносят четверной урон шарам класса MOAB.
Quincy Level 15 Description,"Быстрый выстрел ускоряется в 4 раза, а время отката сокращается."
Quincy Level 16 Description,Скорость атаки увеличивается еще больше. 
Quincy Level 17 Description,Стрелы живут на 25% дольше.
Quincy Level 18 Description,"Квинси атакует быстрее, а Дождь из стрел быстрее откатывается, и в нём на 50% больше стрел."
Quincy Level 19 Description,Стрелы получают ещё большую пробивную способность.
Quincy Level 20 Description,"Квинси атакует ещё быстрее, а дождь из стрел наносит ещё больше урона каждой стрелой и выпускает ещё больше стрел."
,
StrikerJones Level 1 Description,Ударник Джонс стреляет из мощной базуки по шарам.
StrikerJones Level 2 Description,Увеличенный радиус взрыва.
StrikerJones Level 3 Description,Взрывной снаряд: стреляет самонаводящимся снарядом по самому большому шару на экране и останавливает его.
StrikerJones Level 4 Description,Все бомбометатели и обезьяны с мортирами на экране стреляют на 10% быстрее.
StrikerJones Level 5 Description,Все чёрные шары становятся восприимчивее к взрывному урону от любых обезьян. 
StrikerJones Level 6 Description,Радиус взрыва и пробивающая способность обычных атак Джонса значительно увеличиваются.
StrikerJones Level 7 Description,"Пробивает 2 слоя за удар, а зона поражения обезьяны с мортирой увеличивается на 10%."
StrikerJones Level 8 Description,Бомбометатели поблизости от героя получают +5% к дальности выстрела и +25% к пробивной способности.
StrikerJones Level 9 Description,"Ускорена атака, повышены пробивная способность, урон и останавливающая сила Взрывного снаряда."
StrikerJones Level 10 Description,Командование артиллерией: мгновенно готовит к бою всех бомбометателей и обезьян с мортирами.
StrikerJones Level 11 Description,Ускоренная атака.
StrikerJones Level 12 Description,Чуть больше дальность пробивает на 1 слой больше.
StrikerJones Level 13 Description,Ускоренная атака.
StrikerJones Level 14 Description,Взрывные снаряды имеют больший радиус поражения на более длительное время.
StrikerJones Level 15 Description,Взрывной снаряд откатывается на 11 сек. быстрее.
StrikerJones Level 16 Description,Ускоренная атака.
StrikerJones Level 17 Description,Бьёт дальше и пробивает 4 слоя за удар.
StrikerJones Level 18 Description,Все бомбометатели и обезьяны с мортирами атакуют ещё на 10% быстрее.
StrikerJones Level 19 Description,Ускорена атака делает все чёрные шары уязвимыми ко взрывчатому урону.
StrikerJones Level 20 Description,Командование артиллерией также на 10 секунд позволяет всем бомбометателям и обезьянам с мортирами наносить вдвое больше урона и пробивать вдвое больше слоёв за выстрел.
,
CaptainChurchill Level 1 Description,Бронебойные снаряды выпущенные танком могут взрываться до 3 раз.
CaptainChurchill Level 2 Description,Выстрелы лучше пробивают шары.
CaptainChurchill Level 3 Description,Бронебойные снаряды: выстрелы пробивают черные шары и наносят дополнительный урон керамическим. Продолжительность увеличивается вместе с уровнем Черчилля. 
CaptainChurchill Level 4 Description,Увеличенная дальность атаки.
CaptainChurchill Level 5 Description,На танк устанавливается скорострельный пулемёт.
CaptainChurchill Level 6 Description,Бинокль позволяет Черчиллю взрывать камуфлированные шары.
CaptainChurchill Level 7 Description,Снаряды наносят больше урона и могут взрываться 4 раза вместо 3.
CaptainChurchill Level 8 Description,Ускоренная атака.
CaptainChurchill Level 9 Description,Снаряды могут взрываться 5 раз.
CaptainChurchill Level 10 Description,"Барьер для MOAB: устанавливает барьер из снарядов и останавливает до 10 шаров MOAB на экране, каждый раз нанося огромный урон."
CaptainChurchill Level 11 Description,Увеличенная пробивная способность снарядов.
CaptainChurchill Level 12 Description,Снаряды наносят ещё больше урона и могут взрываться 6 раз.
CaptainChurchill Level 13 Description,Бронебойные снаряды пробивают 2 слоя шаров и наносят дополнительный урон керамическим и более сильным шарам. 
CaptainChurchill Level 14 Description,Пулемёт и основное оружие пробивают на 1 слой больше за выстрел.
CaptainChurchill Level 15 Description,Все атаки наносят дополнительный урон укреплённым шарам.
CaptainChurchill Level 16 Description,Ускоренная атака.
CaptainChurchill Level 17 Description,Бронебойные снаряды наносят ещё больше урона.
CaptainChurchill Level 18 Description,Все снаряды пробивают дополнительный слой шаров.
CaptainChurchill Level 19 Description,Снаряды могут взрываться 7 раз.
CaptainChurchill Level 20 Description,Снаряды против MOAB и основное оружие наносит намного больший урон за каждый выстрел.
,
Gwendolin Level 1 Description,Поджигает и взрывает шары с помощью пиропушки.
Gwendolin Level 2 Description,Выстрелы чуть лучше пробивают шары.
Gwendolin Level 3 Description,"Огненный коктейль: бросает бутылку с горючей жидкостью, обжигая шары, которые проходят сквозь огонь. "
Gwendolin Level 4 Description,"Добавь жару! Каждую пару секунд создаёт мощную взрывную волну огня, которая пробивает шары и добавляет огня атакам обезьян поблизости."
Gwendolin Level 5 Description,Повышенная пробивающая способность.
Gwendolin Level 6 Description,Атаки обжигают цели.
Gwendolin Level 7 Description,Увеличенный радиус способности «Добавь жару».
Gwendolin Level 8 Description,Два огненных взрыва за выстрел.
Gwendolin Level 9 Description,При взрыве уничтожается дополнительный слой шаров.
Gwendolin Level 10 Description,"Огненный шторм: поджигает весь экран, сжигает все шары и даёт всем обезьянам бафф «Добавь жару»."
Gwendolin Level 11 Description,Увеличенная дальность атаки.
Gwendolin Level 12 Description,Ускоренная атака.
Gwendolin Level 13 Description,"Значительно усиливает пробивную способность, а снаряды летят быстрее и живут дольше."
Gwendolin Level 14 Description,Огненный коктейль наносит больше урона и поджигает шары класса MOAB.
Gwendolin Level 15 Description,Ускоренная атака.
Gwendolin Level 16 Description,Огненный шторм длится дольше. Фиолетовые шары теряют защиту от атак Гвендолин.
Gwendolin Level 17 Description,Способность «Добавь жару» позволяет обезьяне пробивать на 1 слой больше и наносить на 2 ед. больше урона свинцовым шарам.
Gwendolin Level 18 Description,Ускоренная атака.
Gwendolin Level 19 Description,Три огненных взрыва за выстрел.
Gwendolin Level 20 Description,Огненный шторм наносит невероятный урон.
,
Benjamin Level 1 Description,Приносит $100 за раунд.
Benjamin Level 2 Description,Даёт $150 за раунд вместо $100.
Benjamin Level 3 Description,Биохак: 4 ближайших обезьяны взрывают дополнительно один слой с шаров за каждую атаку в течение 6 секунд. Затронутые обезьяны не могут атаковать в течение 2-х секунд по окончании эффекта.
Benjamin Level 4 Description,Сбор: приносит +$1 за каждый новый шар.
Benjamin Level 5 Description,Взлом банка: все банки приносят на 5% больше прибыли.
Benjamin Level 6 Description,Кибербезопасность: восстанавливает до 5 жизней в конце каждого раунда.
Benjamin Level 7 Description,Шаровой троян: каждые несколько секунд программа-троян заражает случайный шар. Заражённый шар не размножается при уничтожении и даёт на 1 ед. больше денег за каждый слой.
Benjamin Level 8 Description,Прибыль увеличивается до $250 за раунд.
Benjamin Level 9 Description,Взлом банка приносит 12% прибыли.
Benjamin Level 10 Description,Сифон-финансирование: снижает ранг большинства новых шаров на 1 пункт. Каждый взрыв шара приносит вдвое больше прибыли. Действие длится 10 секунд.
Benjamin Level 11 Description,Прибыль увеличивается до $300 за раунд.
Benjamin Level 12 Description,Сбор приносит по $2 за каждый шар.
Benjamin Level 13 Description,Биохак увеличивает дополнительный урон и поражает 6 обезьян на 8 секунд.
Benjamin Level 14 Description,Кибербезопасность даёт 10 жизней за раунд и может достичь 100 начальных жизней.
Benjamin Level 15 Description,Прибыль увеличивается до $500 за раунд. 
Benjamin Level 16 Description,Шаровой троян запускается чаще и зарабатывает больше денег.
Benjamin Level 17 Description,Прибыль увеличивается до $800 за раунд. 
Benjamin Level 18 Description,Шаровой троян способен поражать шары BFB и DDT.
